key,ko,eng
room.oxygen.level1,산소실 Lv.1,Oxygen Room Lv.1
room.oxygen.level2,산소실 Lv.2,Oxygen Room Lv.2
room.engine.level1,엔진실 Lv.1,Engine Room Lv.1
room.engine.level2,엔진실 Lv.2,Engine Room Lv.2
room.engine.level3,엔진실 Lv.3,Engine Room Lv.3
room.cockpit.level1,조종실 Lv.1,Cockpit Lv.1
room.cockpit.level2,조종실 Lv.2,Cockpit Lv.2
room.cockpit.level3,조종실 Lv.3,Cockpit Lv.3
room.medbay.level1,의무실 Lv.1,Medbay Lv.1
room.medbay.level2,의무실 Lv.2,Medbay Lv.2
room.power.level1,전력실 Lv.1,Power Room Lv.1
room.power.level2,전력실 Lv.2,Power Room Lv.2
room.power.level3,전력실 Lv.3,Power Room Lv.3
room.shield.level1,배리어실 Lv.1,Shield Room Lv.1
room.shield.level2,배리어실 Lv.2,Shield Room Lv.2
room.crewquarters.basic,생활관,Crew Quarters
room.crewquarters.big,큰 생활관,Large Crew Quarters
room.lifesupport.game,오락실,Arcade
room.lifesupport.sleep,수면실,Sleep Chamber
room.lifesupport.sauna,사우나,Sauna Room
room.lifesupport.theater,영화관,Theater
room.teleport.level1,위치전환기,Teleporter
room.weaponcontrol.level1,조준석 Lv.1,Weapons Control Lv.1
room.weaponcontrol.level2,조준석 Lv.2,Weapons Control Lv.2
room.ammunition.level1,탄약고 Lv.1,Ammunition Storage Lv.1
room.ammunition.level2,탄약고 Lv.2,Ammunition Storage Lv.2
room.storage.regular.small,일반 창고(소),General Storage(Small)
room.storage.regular.medium,일반 창고(중),General Storage(Medium)
room.storage.regular.big,일반 창고(대),General Storage(Large)
room.storage.animal.small,철창(소),Livestock Bay(Small)
room.storage.animal.medium,철창(중),Livestock Bay(Medium)
room.storage.animal.big,철창(대),Livestock Bay(Large)
room.storage.temperature.small,온도 조절 창고(소),Temperature-Controlled Storage(Small)
room.storage.temperature.medium,온도 조절 창고(중),Temperature-Controlled Storage(Medium)
room.storage.temperature.big,온도 조절 창고(대),Temperature-Controlled Storage(Large)
shipvalidation.error.noroom,방이 없습니다.,No rooms have been placed on the ship layout.
shipvalidation.error.nocockpit,조종실이 없습니다.,The ship needs a cockpit.
shipvalidation.error.noengineroom,엔진실이 없습니다.,The ship is missing an engine room.
shipvalidation.error.nopowerroom,전력실이 없습니다.,The ship is missing a power room.
shipvalidation.error.noteleportroom,텔레포트실이 없습니다.,The ship is missing a teleport room.
shipvalidation.error.nocrewquartersroom,생활 시설이 없습니다.,The ship needs a crew quarters room.
shipvalidation.error.none,함선 배치가 유효합니다.,The ship layout is valid and has passed all checks.
shipvalidation.error.unconnecteddoor,방의 문이 다른 방 또는 복도와 연결되어 있지 않습니다.,A room has a door that does not connect to any other room or hallway.
shipvalidation.error.isolatedroom,고립된 방이 있습니다.,One or more rooms are completely isolated and inaccessible from the rest of the ship.
shipvalidation.error.weapongplacement,무기의 위치가 올바르지 않습니다.,A weapon isn’t valid.
outerhull.level1,외갑판 Lv.1,Outer Hull Lv.1
outerhull.level2,외갑판 Lv.2,Outer Hull Lv.2
outerhull.level3,외갑판 Lv.3,Outer Hull Lv.3
door.level1,일반 문,Door
door.level2,자동 문,Automatic Door
item.name.0,소금,Salt
item.name.1,날카로운 이빨,Sharp Tooth
item.name.2,단단한 비늘,Hard Scale
item.name.3,진주,Pearl
item.name.4,관상용 산호,Ornamental Coral
item.name.5,삼중수소,Tritium
item.name.6,쪽빛 단괴,Azure Chunk
item.name.7,마법의 소라고둥,Magical Conch Shell
item.name.8,자색 고사리,Purple Fern
item.name.9,독성 고사리,Toxic Fern
item.name.10,단단한 씨앗,Hard Seed
item.name.11,가벼운 씨앗,Light Seed
item.name.12,알 수 없는 씨앗,Unknown Seed
item.name.13,수상한 육포,Suspicious Jerky
item.name.14,폭발형 씨앗,Explosive Seed
item.name.15,알 껍질,Eggshell
item.name.16,굼벵이,Giant Worm
item.name.17,단단한 얼음조각,Hard Ice Shard
item.name.18,얼어붙은 수액,Frozen Sap
item.name.19,따뜻한 모피,Warm Fur
item.name.20,거대한 육포,Giant Jerky
item.name.21,얼음 조각상,Ice Statue
item.name.22,차가운 금속,Cold Metal
item.name.23,목재,Lumber
item.name.24,소금,Salt
item.name.25,곡물,Grain
item.name.26,생고기,Raw Meat
item.name.27,금,Gold
item.name.28,광학 렌즈,Optical Lens
item.name.29,원자로,Reactor
item.name.30,소,Cow
item.name.31,램프,Lamp
item.name.32,바늘,Needle
item.name.33,불길한 서적,Ominous Book
item.name.34,천,Cloth
item.name.35,눈동자,Eye
item.name.36,이빨,Tooth
