id,planet,tier,name,debug_name,type,temperature_min,temperature_max,shape,cost_base,capacity,cost_min,cost_changerate,cost_max,description
0,SIS,T1,item.name.0,소금 1,Spice,-273,800,0,180,100,167,7,193,item.description.0
1,SIS,T1,item.name.1,날카로운 이빨,Material,-273,1670,1,150,100,137,9,164,item.description.1
2,SIS,T1,item.name.2,단단한 비늘,Material,-273,1670,5,160,80,152,5,168,item.description.2
3,SIS,T2,item.name.3,진주,Gem,-273,840,9,300,150,264,12,336,item.description.3
4,SIS,T2,item.name.4,관상용 산호,Luxury,-273,20,11,300,100,255,15,345,item.description.4
5,SIS,T2,item.name.5,삼중수소,Material,-273,0,6,150,500,131,13,170,item.description.5
6,SIS,T3,item.name.6,쪽빛 단괴,Mineral,-273,5000,11,450,80,338,25,563,item.description.6
7,SIS,T3,item.name.7,마법의 소라고둥,Artifact,-273,30,10,1000,10,700,30,1300,item.description.7
8,CCK,T1,item.name.8,자색 고사리,Food,-273,15,7,120,200,110,8,130,item.description.8
9,CCK,T1,item.name.9,독성 고사리,Material,-273,15,8,150,100,137,9,164,item.description.9
10,CCK,T1,item.name.10,단단한 씨앗,Food,-273,30,9,80,300,72,10,88,item.description.10
11,CCK,T1,item.name.11,가벼운 씨앗,Food,-273,30,9,60,500,54,10,66,item.description.11
12,CCK,T1,item.name.12,알 수 없는 씨앗,Material,-273,30,11,50,500,45,10,55,item.description.12
13,CCK,T2,item.name.13,수상한 육포,Food,-273,10,1,180,200,153,15,207,item.description.13
14,CCK,T2,item.name.14,폭발형 씨앗,Weapon,-273,20,6,200,200,170,15,230,item.description.14
15,CCK,T2,item.name.15,알 껍질,Material,-273,100,9,150,100,120,20,180,item.description.15
16,CCK,T3,item.name.16,굼벵이,Livestock,-273,15,11,500,1,300,40,700,item.description.16
17,ICM,T1,item.name.17,단단한 얼음조각,Material,-273,-10,1,50,450,46,8,54,item.description.17
18,ICM,T1,item.name.18,얼어붙은 수액,Food,-273,0,0,120,250,102,15,138,item.description.18
19,ICM,T1,item.name.19,따뜻한 모피,Material,-273,100,7,150,200,132,12,168,item.description.19
20,ICM,T1,item.name.20,거대한 육포,Food,-273,10,9,120,200,102,15,138,item.description.20
21,ICM,T2,item.name.21,얼음 조각상,Luxury,-273,-20,10,1000,10,800,20,1200,item.description.21
22,ICM,T3,item.name.22,차가운 금속,Mineral,-273,1200,11,1000,50,700,30,1300,item.description.22
23,RCE,T1,item.name.23,목재,Material,-273,260,6,240,300,216,10,264,item.description.23
24,RCE,T1,item.name.24,소금 2,Spice,-273,100,0,200,100,176,12,224,item.description.24
25,RCE,T1,item.name.25,곡물,Food,-273,100,1,300,300,270,10,330,item.description.25
26,RCE,T1,item.name.26,생고기,Food,-273,0,1,300,200,270,10,330,item.description.26
27,RCE,T2,item.name.27,금,Mineral,-273,3000,9,500,100,400,20,600,item.description.27
28,RCE,T2,item.name.28,광학 렌즈,Material,-273,100,9,500,50,350,30,650,item.description.28
29,RCE,T3,item.name.29,원자로,Material,-273,5000,13,30000,1,27000,10,33000,item.description.29
30,RCE,T3,item.name.30,소,Livestock,-273,25,12,1000,1,800,20,1200,item.description.30
31,KTL,T1,item.name.31,램프,Artifact,-273,1000,0,200,100,186,7,214,item.description.31
32,KTL,T1,item.name.32,바늘,Artifact,-273,1000,2,120,200,101,16,139,item.description.32
33,KTL,T2,item.name.33,불길한 서적,Artifact,-273,400,1,300,100,249,17,351,item.description.33
34,KTL,T2,item.name.34,천,Material,-273,400,9,200,300,170,15,230,item.description.34
35,KTL,T3,item.name.35,눈동자,Artifact,-273,80,13,500,50,400,20,600,item.description.35
36,KTL,T3,item.name.36,이빨,Artifact,-273,100,5,450,100,383,15,518,item.description.36
